col_0,col_1,col_2
4.285179827860220669e+00,-3.061616997868383043e-15,-1.570796326794896558e+01
4.161581724066605759e+00,-1.560167228492441271e+00,-1.539063067667726870e+01
3.599732172385290419e+00,-2.964539645273202684e+00,-1.507329808540557359e+01
1.994568447431985359e+00,-4.072879760251680636e+00,-1.475596549413387670e+01
1.374440860225469851e+00,-4.774511207220371034e+00,-1.443863290286217982e+01
3.954805499590596796e-01,-4.999370638369375008e+00,-1.412130031159048471e+01
1.365975964307753365e+00,-4.725004093573341279e+00,-1.380396772031878783e+01
8.580036193407469813e-01,-3.978809202654156607e+00,-1.348663512904709094e+01
3.207521205700113676e+00,-2.835299319313853594e+00,-1.316930253777539583e+01
3.786560651600254790e+00,-1.408662784207145302e+00,-1.285196994650369895e+01
3.154003426818157596e+00,1.586396674903356729e-01,-1.253463735523200384e+01
3.553638953411528245e+00,1.710100716628344175e+00,-1.221730476396030696e+01
2.216162083850978348e+00,3.090794931103028720e+00,-1.189997217268861007e+01
6.354916234906193839e-01,4.162849273173859999e+00,-1.158263958141691319e+01
3.252108167760511925e+00,4.819210792799710319e+00,-1.126530699014521808e+01
7.066894917136967713e-02,4.994336695915039925e+00,-1.094797439887352120e+01
4.106095917358989489e+00,4.670739301325534498e+00,-1.063064180760182609e+01
3.259293989691769866e+00,3.880732321458783662e+00,-1.031330921633012920e+01
4.641426525132919423e+00,2.703204087277985224e+00,-9.995976625058432319e+00
2.179099421346624155e+00,1.255739935905389348e+00,-9.678644033786735434e+00
3.666458223917526293e+00,-3.171195982828231563e-01,-9.361311442515040326e+00
1.513733072178878869e+00,-1.858312278301641252e+00,-9.043978851243343442e+00
2.633948560358507773e+00,-3.213938048432694483e+00,-8.726646259971648334e+00
1.079914378379364770e+00,-4.248627149747572496e+00,-8.409313668699951450e+00
1.645834906684050525e+00,-4.859057841617709705e+00,-8.091981077428254565e+00
1.184212329987802681e+00,-4.984273879759711257e+00,-7.774648486156558569e+00
3.659527310887958240e+00,-4.611771470522906924e+00,-7.457315894884862573e+00
1.558776213920553655e+00,-3.778747871771288569e+00,-7.139983303613165688e+00
3.205504934561385966e+00,-2.568386957867033971e+00,-6.822650712341470580e+00
2.538893313468078894e+00,-1.101552663932702236e+00,-6.505318121069773696e+00
1.279134961110784952e+00,4.752802165209172314e-01,-6.187985529798076811e+00
2.105787291081518298e+00,2.004652677033066155e+00,-5.870652938526381703e+00
1.911069435696600705e+00,3.333845002581458772e+00,-5.553320347254684819e+00
3.394287395026586829e+00,4.330127018922195425e+00,-5.235987755982987935e+00
3.509569538882900686e-01,4.894012231073893382e+00,-4.918655164711292826e+00
6.227905353386242737e-02,4.969192322306270171e+00,-4.601322573439595942e+00
4.510170595574684249e+00,4.548159976772589985e+00,-4.283989982167899058e+00
4.366569303100458654e+00,3.672958543287667688e+00,-3.966657390896203950e+00
2.684331681108623080e+00,2.430983680502342370e+00,-3.649324799624507065e+00
4.353353634060427524e+00,9.462562218020470484e-01,-3.331992208352810181e+00
4.391146312139749597e+00,-6.329622678687445436e-01,-3.014659617081115073e+00
2.404923769333104033e+00,-2.148974560445858994e+00,-2.697327025809418188e+00
4.007753425454239071e+00,-3.450395057410562849e+00,-2.379994434537721304e+00
2.715078249232977248e-01,-4.407266817237909251e+00,-2.062661843266026196e+00
3.165336385870320512e+00,-4.924038765061040657e+00,-1.745329251994329312e+00
1.269714462000026689e+00,-4.949107209404663088e+00,-1.427996660722632427e+00
1.152013506912137331e+00,-4.479968871456679658e+00,-1.110664069450937319e+00
4.463738078217614813e+00,-3.563470856894312977e+00,-7.933314781792404347e-01
4.968062872806643604e+00,-2.291132608637048040e+00,-4.759988869075435503e-01
2.022111162394461203e+00,-7.900069798667509469e-01,-1.586662956358484422e-01
4.084940235970788258e+00,7.900069798667509469e-01,1.586662956358484422e-01
2.346891082886563673e+00,2.291132608637048040e+00,4.759988869075435503e-01
1.889376088377719309e+00,3.563470856894312977e+00,7.933314781792404347e-01
7.401958529594332425e-01,4.479968871456679658e+00,1.110664069450937319e+00
2.131197822270155307e+00,4.949107209404664864e+00,1.427996660722634203e+00
3.239986290489808685e+00,4.924038765061038880e+00,1.745329251994331088e+00
2.598021285220692533e+00,4.407266817237913692e+00,2.062661843266024420e+00
2.422105941720651412e+00,3.450395057410562849e+00,2.379994434537721304e+00
2.938906545365486345e+00,2.148974560445858994e+00,2.697327025809418188e+00
4.509599437325290339e+00,6.329622678687445436e-01,3.014659617081115073e+00
1.523945760566370877e+00,-9.462562218020558191e-01,3.331992208352811957e+00
4.610827204427812909e+00,-2.430983680502350364e+00,3.649324799624508842e+00
4.064433917781156147e+00,-3.672958543287661026e+00,3.966657390896202173e+00
3.828958202093856400e+00,-4.548159976772589985e+00,4.283989982167899058e+00
1.739882824828929975e+00,-4.969192322306270171e+00,4.601322573439595942e+00
1.978074937625863949e+00,-4.894012231073893382e+00,4.918655164711292826e+00
3.675203749896307048e+00,-4.330127018922190985e+00,5.235987755982989711e+00
2.357812732406816547e-02,-3.333845002581465433e+00,5.553320347254683043e+00
1.497655262927423792e+00,-2.004652677033074593e+00,5.870652938526379927e+00
3.523196034867853710e-01,-4.752802165209172314e-01,6.187985529798076811e+00
2.142300378371231773e+00,1.101552663932702236e+00,6.505318121069773696e+00
3.894340025628695301e+00,2.568386957867033971e+00,6.822650712341470580e+00
8.302092423457058112e-01,3.778747871771294786e+00,7.139983303613167465e+00
2.269214599666089960e+00,4.611771470522903371e+00,7.457315894884860796e+00
2.451294069025688582e+00,4.984273879759711257e+00,7.774648486156557681e+00
3.843465739613954879e-01,4.859057841617709705e+00,8.091981077428254565e+00
7.681013699074701329e-02,4.248627149747572496e+00,8.409313668699951450e+00
3.388604824041029140e+00,3.213938048432694483e+00,8.726646259971648334e+00
3.795146709910741656e+00,1.858312278301632814e+00,9.043978851243345218e+00
2.340152353941217456e+00,3.171195982828320381e-01,9.361311442515038550e+00
3.251387450967845982e+00,-1.255739935905389348e+00,9.678644033786735434e+00
4.268022151422750099e+00,-2.703204087277985224e+00,9.995976625058432319e+00
9.625988136780894155e-02,-3.880732321458783662e+00,1.031330921633012920e+01
1.955038376683126966e-01,-4.670739301325534498e+00,1.063064180760182609e+01
1.102173256546759461e+00,-4.994336695915039925e+00,1.094797439887352297e+01
1.643183584701440214e+00,-4.819210792799712983e+00,1.126530699014521630e+01
2.000627725455589534e+00,-4.162849273173859999e+00,1.158263958141691319e+01
1.470819082586651838e+00,-3.090794931103028720e+00,1.189997217268861007e+01
3.391798658111551124e+00,-1.710100716628344175e+00,1.221730476396030696e+01
4.454075352542595567e+00,-1.586396674903356729e-01,1.253463735523200384e+01
2.733122041720072559e+00,1.408662784207153962e+00,1.285196994650370073e+01
3.318832010532728916e+00,2.835299319313846489e+00,1.316930253777539406e+01
1.312398956346613188e+00,3.978809202654156607e+00,1.348663512904709094e+01
1.277832474214509073e+00,4.725004093573341279e+00,1.380396772031878783e+01
3.303388755385456843e+00,4.999370638369375008e+00,1.412130031159048471e+01
1.554260424715598887e+00,4.774511207220369258e+00,1.443863290286218160e+01
1.753706182525894830e+00,4.072879760251675307e+00,1.475596549413387848e+01
1.471053269805999264e+00,2.964539645273209789e+00,1.507329808540557181e+01
2.501228316194821666e+00,1.560167228492441271e+00,1.539063067667726870e+01
1.234763545429366616e+00,3.061616997868383043e-15,1.570796326794896558e+01